"","case_control_group","fruit","measure","human_fruit","human_dropped_fruit","animal_dropped_fruit","bat_fruit","tp_fruit"
"93","case","rattan","mean",0.0707482993197279,0.00680272108843537,0.00204081632653061,0.0197278911564626,0.00420757363253857
"94","case","rattan","sum",104,10,3,29,6
"95","case","rattan","count",1470,1470,1470,1470,1426
"96","case","rattan","numNA",3,3,3,3,47
"97","case","river.ebony","mean",0.350340136054422,0.0687074829931973,0.0224489795918367,0.302721088435374,0.112903225806452
"98","case","river.ebony","sum",515,101,33,445,161
"99","case","river.ebony","count",1470,1470,1470,1470,1426
"100","case","river.ebony","numNA",3,3,3,3,47
"101","case","star.fruit","mean",0.775510204081633,0.195918367346939,0.0673469387755102,0.417687074829932,0.159186535764376
"102","case","star.fruit","sum",1140,288,99,614,227
"103","case","star.fruit","count",1470,1470,1470,1470,1426
"104","case","star.fruit","numNA",3,3,3,3,47
"105","case","wild.dates","mean",0.182993197278912,0.0707482993197279,0.019047619047619,0.201360544217687,0.0189340813464236
"106","case","wild.dates","sum",269,104,28,296,27
"107","case","wild.dates","count",1470,1470,1470,1470,1426
"108","case","wild.dates","numNA",3,3,3,3,47
"109","case","coconut","mean",0.902721088435374,0.191836734693878,0.00204081632653061,0.0836734693877551,0.612903225806452
"110","case","coconut","sum",1327,282,3,123,874
"111","case","coconut","count",1470,1470,1470,1470,1426
"112","case","coconut","numNA",3,3,3,3,47
"113","case","betel","mean",0.842176870748299,0.380952380952381,0.0149659863945578,0.572108843537415,0.53085553997195
"114","case","betel","sum",1238,560,22,841,757
"115","case","betel","count",1470,1470,1470,1470,1426
"116","case","betel","numNA",3,3,3,3,47
"117","case","blackberry.jam","mean",0.823809523809524,0.337414965986395,0.072108843537415,0.531292517006803,0.199158485273492
"118","case","blackberry.jam","sum",1211,496,106,781,284
"119","case","blackberry.jam","count",1470,1470,1470,1470,1426
"120","case","blackberry.jam","numNA",3,3,3,3,47
"121","case","water.chestnut","mean",0.107702794819359,0.00340831629175187,0.000681663258350375,0.0156782549420586,0.00773014757554462
"122","case","water.chestnut","sum",158,5,1,23,11
"123","case","water.chestnut","count",1467,1467,1467,1467,1423
"124","case","water.chestnut","numNA",6,6,6,6,50
"125","control, far","banana","mean",0.971854304635762,0.0292494481236203,0.136313465783664,0.767108167770419,0.65672514619883
"126","control, far","banana","sum",1761,53,247,1390,1123
"127","control, far","banana","count",1812,1812,1812,1812,1710
"128","control, far","banana","numNA",3,3,3,3,105
"129","control, far","mango","mean",0.984547461368653,0.733995584988962,0.280353200883002,0.824503311258278,0.797194623027469
"130","control, far","mango","sum",1784,1330,508,1494,1364
"131","control, far","mango","count",1812,1812,1812,1812,1711
"132","control, far","mango","numNA",3,3,3,3,104
"133","control, far","buroi","mean",0.960264900662252,0.655629139072848,0.260485651214128,0.753311258278146,0.472822910578609
"134","control, far","buroi","sum",1740,1188,472,1365,809
"135","control, far","buroi","count",1812,1812,1812,1812,1711
"136","control, far","buroi","numNA",3,3,3,3,104
"137","control, far","sofeda","mean",0.448675496688742,0.174944812362031,0.130242825607064,0.325055187637969,0.109292811221508
"138","control, far","sofeda","sum",813,317,236,589,187
"139","control, far","sofeda","count",1812,1812,1812,1812,1711
"140","control, far","sofeda","numNA",3,3,3,3,104
"141","control, far","guava","mean",0.91280353200883,0.528145695364238,0.219646799116998,0.75,0.573933372296902
"142","control, far","guava","sum",1654,957,398,1359,982
"143","control, far","guava","count",1812,1812,1812,1812,1711
"144","control, far","guava","numNA",3,3,3,3,104
"145","control, far","date.palm","mean",0.520419426048565,0.158940397350993,0.0993377483443709,0.402317880794702,0.288135593220339
"146","control, far","date.palm","sum",943,288,180,729,493
"147","control, far","date.palm","count",1812,1812,1812,1812,1711
"148","control, far","date.palm","numNA",3,3,3,3,104
"149","control, far","jackfruit","mean",0.967991169977925,0.102097130242826,0.185430463576159,0.519315673289183,0.624196376388077
