"","Village_ID","Tree_number","Tree_type","Date_of_observation","Day","Month","Year","Camera_number","Tree_coordinates_east","Tree_coordinates_west","In_H","In_M","In_S","Out_H","Out_M","Out_S","DurStayT","DurContT","Way","Con_place","P_NP","Comments","Number_of_visits","Number_of_stays","Number_of_contaminations","AM_PM"
"301",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,2,29,48,2,29,51,3,2,1,2,0,NA,1,1,1,"AM"
"302",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,2,33,45,2,35,5,80,79,1,2,0,NA,1,1,1,"AM"
"303",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,3,20,29,3,21,7,38,37,1,2,0,NA,1,1,1,"AM"
"304",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,3,22,31,3,22,32,1,0,0,0,2,NA,1,0,0,"AM"
"305",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,3,34,6,3,34,8,2,1,1,2,0,NA,1,1,1,"AM"
"306",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,3,45,11,3,45,13,2,1,1,2,0,NA,1,1,1,"AM"
"307",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,3,48,32,3,48,33,1,0,0,0,2,NA,1,0,0,"AM"
"308",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,3,48,36,3,49,0,24,23,1,2,0,NA,1,1,1,"AM"
"309",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,4,1,35,4,1,37,2,1,1,2,0,NA,1,1,1,"AM"
"310",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,4,8,1,4,8,17,16,15,1,2,0,NA,1,1,1,"AM"
"311",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,4,31,8,4,31,10,2,1,1,2,0,NA,1,1,1,"AM"
"312",2012,"2012.ICF05","Banana","21.01.2012",21,1,2012,"12",22.96505,92.06385,4,40,25,4,40,51,26,25,1,2,0,NA,1,1,1,"AM"
"313",2012,"2012.ICF06","Jujube","21.01.2012",21,1,2012,"11",22.9661,92.06619,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"314",2013,"2013.ICF3","Guava","03.01.2012",3,1,2012,"11",21.79864,92.18576,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"315",2013,"2013.ICF4","Star fruit","03.01.2012",3,1,2012,"12",21.797,92.18659,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"316",2017,"2017.ICF1","Jujube","28.12.2011",28,12,2011,"3",22.5854,89.16657,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"317",2017,"2017.ICF9","Sapodilla","28.12.2011",28,12,2011,"4",22.58125,89.16738,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"318",2018,"2018.ICF5","Sapodilla","16.12.2011",16,12,2011,"3",22.46964,89.09535,9,24,31,9,24,32,1,0,NA,NA,2,NA,1,0,0,"PM"
"319",2020,"2020.ICF10","Jujube","31.01.2012",31,1,2012,"11",23.02717,92.15479,6,29,50,6,29,51,1,0,0,0,2,NA,1,0,0,"PM"
"320",2020,"2020.ICF10","Jujube","31.01.2012",31,1,2012,"11",23.02717,92.15479,6,46,14,6,46,15,1,0,0,0,2,NA,1,0,0,"PM"
"321",2020,"2020.ICF10","Jujube","31.01.2012",31,1,2012,"11",23.02717,92.15479,7,44,38,7,44,39,1,0,0,0,2,NA,1,0,0,"PM"
"322",2020,"2020.ICF11","Jujube","31.01.2012",31,1,2012,"12",23.02653,92.15024,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,NA,0,0,0,"missing"
"323",2028,"2028.ICF1","Jujube","24.12.11",24,12,2011,"10",25.08467,90.02658,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"324",2031,"2031.ICF04","Rose apple","08.02.2012",8,2,2012,"12",22.7781,91.10035,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"325",2031,"2031.ICF09","Jujube","10.02.2012",10,2,2012,"11",22.77415,91.1022,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"326",2035,"2035.ICF3","Guava","8.2.2012",8,2,2012,"4",24.72877,89.57411,6,38,4,6,38,5,1,0,0,0,2,NA,1,0,0,"PM"
"327",2035,"2035.ICF7","Sapodilla","9.2.2012",9,2,2012,"missing",24.73464,89.57556,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,NA,0,0,0,"missing"
"328",2041,"2041.ICF01","Jujube","01.01.2012",1,1,2012,"11",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"329",2042,"2042.ICF4","Sapodilla","23.12.2012",23,12,2012,"3",22.61292,89.1382,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"330",2042,"2042.ICF9","Sapodilla","24.12.2011",24,12,2011,"4",22.61379,89.14112,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"331",2045,"2045.ICF01","Jujube","7.2.2012",7,2,2012,"7",22.50766,90.67779,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"332",2045,"2045.ICF02","Banana","7.2.2012",7,2,2012,"8",22.50783,90.68137,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"333",2046,"2046.ICF01","Jujube","12.02.2012",12,2,2012,"12",NA,NA,8,1,18,8,1,19,1,0,0,0,2,NA,1,0,0,"PM"
"334",2046,"2046.ICF02","Star fruit","12.02.2012",12,2,2012,"11",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,NA
"335",2047,"2047.ICF1","Star fruit","20.12.2011",20,12,2011,"2",24.80736,90.21495,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"336",2048,"2048.F11","Banana","26.01.2012",26,1,2012,"11",22.81292,91.86852,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"337",2048,"2048.F10","Jack fruit","26.01.2012",26,1,2012,"12",22.81368,91.87303,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"338",2050,"2050.ICF7","Jujube","26.1.2012",26,1,2012,"3",22.10377,90.08593,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"339",3004,"3004.ICF07","Jujube","14.2.12",14,2,2012,"8",23.82928,89.7868,12,14,54,12,16,29,95,94,1,2,1,NA,1,1,1,"AM"
"340",3009,"3009.ICF1","Jujube","4.1.2012",4,1,2012,"2",23.51478,89.60709,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"341",3010,"3010.ICF1","Jujube","7.2.2012",7,2,2012,"2",23.75277,89.76923,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"342",3010,"3010.ICF2","Jujube","7.2.2012",7,2,2012,"5",23.75411,89.76743,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"343",3011,"3011.ICF1","Star fruit","21.12.2012",21,12,2012,"2",23.53887,89.74286,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"344",3011,"3011.ICF2","Sapodilla","21.12.2012",21,12,2012,"5",23.53895,89.74298,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"345",3013,"3013.ICF3","Guava","2.2.2012",2,2,2012,"4",24.23573,89.07245,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"346",3013,"3013.ICF9","Jujube","2.2.2012",2,2,2012,"3",24.23157,89.07029,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"347",3015,"3015.ICF1","Sapodilla","25.12.2011",25,12,2011,"2",23.43164,89.67274,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"348",3015,"3015.ICF2","Jujube","25.12.2011",25,12,2011,"5",23.43158,89.67126,7,44,1,7,44,3,2,1,2,2,2,NA,1,1,0,"PM"
"349",3015,"3015.ICF2","Jujube","25.12.2011",25,12,2011,"5",23.43158,89.67126,9,35,41,9,35,42,1,0,2,2,2,NA,1,0,0,"AM"
"350",3016,"3016.ICF1","Jujube","11.2.2012",11,2,2012,"5",23.75034,89.65161,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"351",3016,"3016.ICF2","Jujube","15.2.2012",15,2,2012,"5",23.75106,89.65048,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"352",3018,"3018.ICF1","Guava","8.12.2011",8,12,2011,"6",24.2054,90.02176,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,NA
"353",3018,"3018.ICF2","Jujube","9.12.2011",9,12,2011,"5",24.21021,90.02246,8,9,20,8,9,39,19,18,2,2,1,NA,1,1,1,"PM"
"354",3018,"3018.ICF2","Jujube","9.12.2011",9,12,2011,"5",24.21021,90.02246,8,18,17,8,18,21,4,3,2,2,1,NA,1,1,1,"PM"
"355",3018,"3018.ICF2","Jujube","9.12.2011",9,12,2011,"5",24.21021,90.02246,8,23,44,8,25,51,127,126,2,2,1,NA,1,1,1,"PM"
"356",3018,"3018.ICF2","Jujube","9.12.2011",9,12,2011,"5",24.21021,90.02246,8,26,14,8,38,7,713,712,2,2,1,NA,1,1,1,"PM"
"357",3018,"3018.ICF2","Jujube","9.12.2011",9,12,2011,"5",24.21021,90.02246,8,48,56,8,49,44,48,47,2,2,1,NA,1,1,1,"PM"
"358",3018,"3018.ICF2","Jujube","9.12.2011",9,12,2011,"5",24.21021,90.02246,9,10,49,9,10,51,2,1,2,2,1,NA,1,1,1,"PM"
"359",3018,"3018.ICF2","Jujube","9.12.2011",9,12,2011,"5",24.21021,90.02246,10,38,10,10,58,43,1233,1232,2,2,1,NA,1,1,1,"PM"
"360",3020,"3020.ICF2","Jujube","19.1.2012",19,1,2012,"4",24.07921,89.21449,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"361",3028,"3028.ICF1","Guava","28.01.2012",28,1,2012,"10",25.32284,89.23322,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"362",3028,"3028.ICF2","Jujube","28.01.2012",28,1,2012,"9",25.32352,89.23383,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"363",3037,"3037.ICF1","Jujube","26.1.2012",26,1,2012,"2",23.64235,89.60604,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"364",3037,"3037.ICF2","Jujube","27.1.2012",27,1,2012,"5",23.64238,89.60578,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"365",3039,"3039.ICF1","Star fruit","28.12.2011",28,12,2011,"5",23.37284,89.74365,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"366",3039,"3039.ICF2","Sapodilla","1.1.12",1,1,2012,"5",23.37304,89.74406,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"367",3040,"3040.ICF1","Jujube","13.2.2012",13,2,2012,"2",23.36545,89.83141,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"368",3040,"3040.ICF2","Guava","13.2.2012",13,2,2012,"5",23.36545,89.83141,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"369",3041,"3041.ICF1","Jujube","4.2.2012",4,2,2012,"5",23.6869,89.64353,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"370",3041,"3041.ICF2","Jujube","4.2.2012",4,2,2012,"2",23.68787,89.64016,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"371",1053,"1053.ICF1","Guava","28.01.2013",28,1,2013,"8 (F-012266)",23.17477,91.40516,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"372",1057,"1057.ICF1","Star fruit","4.2.2013",4,2,2013,"F-012261",26.09177,88.217,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"373",1057,"1057.ICF2","Jujube","4.2.2013",4,2,2013,"F-012262",26.0926,88.21819,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"374",1058,"1058.ICF1","Banana","31.12.2012",31,12,2012,"missing",23.19849,90.17514,6,31,33,6,31,34,1,0,1,3,0,NA,1,0,0,"PM"
"375",1060,"1060.ICF1","Jujube","08.02.2013",8,2,2013,"F-012265",23.68286,89.70783,2,6,34,2,6,35,1,0,0,0,2,NA,1,0,0,"AM"
"376",1061,"1061.ICF1","Guava","7.12.12",7,12,2012,"F-012262",24.09161,89.82143,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"377",1062,"1062.ICF1","Star fruit","22.12.12",22,12,2012,"F-012261",25.99597,88.99786,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"378",1067,"1067.ICF1","Indian olive","8.12.12",8,12,2012,"4 (F-012264)",24.23995,90.19712,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"379",1069,"1069.ICF1","Sapodilla","06.12.2012",6,12,2012,"F-012260",23.62841,90.29422,10,39,29,10,40,53,84,83,2,1,1,NA,1,1,1,"PM"
"380",1069,"1069.ICF1","Sapodilla","06.12.2012",6,12,2012,"F-012260",23.62841,90.29422,1,22,1,1,22,5,4,3,1,2,1,NA,1,1,1,"AM"
"381",1069,"1069.ICF1","Sapodilla","06.12.2012",6,12,2012,"F-012260",23.62841,90.29422,2,12,49,2,15,36,167,166,2,1,1,NA,1,1,1,"AM"
"382",1069,"1069.ICF2","Guava","07.12.2012",7,12,2012,"F-012265",23.6263,90.30758,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"383",1071,"1071.ICF1","Guava","6.12.2012",6,12,2012,"8 (F-012266)",24.06652,90.65192,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"384",1072,"1072.ICF1","Guava","26.12.2012",26,12,2012,"F-012261",26.10117,88.59122,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"385",1072,"1072.ICF2","Jujube","26.12.2012",26,12,2012,"F-012262",26.10269,88.59045,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"386",1076,"1076.ICF1","Guava","14.08.2013",14,8,2013,"F-012268",23.38708,89.29745,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"387",1076,"1076.ICF2","Guava","14.08.2013",14,8,2013,"F-012267",23.3865,89.29498,6,54,31,6,54,32,1,0,0,0,2,NA,1,0,0,"PM"
"388",1076,"1076.ICF2","Guava","14.08.2013",14,8,2013,"F-012267",23.3865,89.29498,8,12,57,8,12,58,1,0,0,0,2,NA,1,0,0,"PM"
"389",1076,"1076.ICF2","Guava","14.08.2013",14,8,2013,"F-012267",23.3865,89.29498,3,54,49,3,54,51,2,1,0,0,2,NA,1,1,0,"AM"
"390",1076,"1076.ICF2","Guava","14.08.2013",14,8,2013,"F-012267",23.3865,89.29498,4,48,40,4,48,41,1,0,0,0,2,NA,1,0,0,"AM"
"391",1076,"1076.ICF2","Guava","14.08.2013",14,8,2013,"F-012267",23.3865,89.29498,5,10,11,5,10,12,1,0,0,0,2,NA,1,0,0,"AM"
"392",1076,"1076.ICF2","Guava","14.08.2013",14,8,2013,"F-012267",23.3865,89.29498,5,20,25,5,20,27,2,1,0,0,2,NA,1,1,0,"AM"
"393",1077,"1077.ICF1","Guava","19.12.2012",19,12,2012,"8 (F-012266)",23.57733,90.95641,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"394",1077,"1077.ICF2","Jujube","20.12.2012",20,12,2012,"8 (F-012266)",23.57126,90.96331,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"395",1079,"1079.ICF1","Star fruit","16.12.2012",16,12,2012,"F-012267",24.21469,89.65291,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"396",1080,"1080.ICF1","Guava","24.12.2012",24,12,2012,"8 (F-012266)",23.06932,91.32237,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"397",1080,"1080.ICF2","Jujube","24.12.2012",24,12,2012,"2 (L008420)",23.06849,91.32226,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"398",1082,"1082.ICF1","Star fruit","2.1.2013",2,1,2013,"F-012261",26.03012,88.56134,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"399",1082,"1082.ICF2","Star fruit","2.1.2013",2,1,2013,"F-012262",26.03561,88.55746,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
"400",1083,"1083.ICF1","Sapodilla","30.12.2012",30,12,2012,"F-012267",23.46173,89.33929,NA,NA,NA,NA,NA,NA,0,0,0,0,3,NA,0,0,0,"missing"
