"","Village_ID","Tree_number","Tree_type","Date_of_observation","Day","Month","Year","Date_of_shaving","Camera_number","Tree_coordinates_east","Tree_coordinates_west","In_H","In_M","In_S","Out_H","Out_M","Out_S","DurStayT","DurContT","Way","Con_place","P_NP","Comments","Number_of_visits","Number_of_stays","Number_of_contaminations","AM_PM"
"2671",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",12,6,19,12,6,27,8,7,2,1,0,NA,1,1,1,"AM"
"2672",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",12,6,27,12,11,40,313,312,3,0,1,NA,1,1,0,"AM"
"2673",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",12,11,38,12,11,39,1,0,3,0,2,NA,1,0,0,"AM"
"2674",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",12,15,49,12,15,50,1,0,0,0,2,NA,1,0,0,"AM"
"2675",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",12,26,17,12,27,22,65,64,2,1,0,NA,1,1,1,"AM"
"2676",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",12,27,22,12,27,23,1,0,0,0,0,NA,1,0,0,"AM"
"2677",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",12,43,20,12,43,21,1,0,2,1,0,NA,1,0,0,"AM"
"2678",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",12,59,47,12,59,48,1,0,2,1,0,NA,1,0,0,"AM"
"2679",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",1,0,6,1,0,14,8,7,2,1,0,NA,1,1,1,"AM"
"2680",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",1,0,54,1,0,59,5,4,2,1,0,NA,1,1,1,"AM"
"2681",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",1,24,11,1,24,34,23,22,2,1,0,NA,1,1,1,"AM"
"2682",3038,"3038.ICT1","Date palm","29.01.2013",29,1,2013,NA,"F-012260","23.46876","90.02806",1,46,28,1,46,30,2,1,2,1,0,NA,1,1,1,"AM"
